Código;Nombre del alimento/preparación;Energía (kcal);Energía (kJ);Agua (g);Proteínas (g);Grasa total (g);Carbohidratos totales (g);Carbohidratos disponibles (g);Fibra dietaria (g)
SE108;Sopa de frejoles;58;244;18,2;3,4;0,5;10,3;8,3;2,0
SE110;Sopa de habas;54;225;24,4;2,2;0,7;10,1;6,7;0,3
SE111;Sopa de hueso de res;20;82;9,7;0,4;0,2;4,0;3,9;0,1
SE112;Sopa de leche;41;170;19,3;1,5;0,8;6,9;5,3;0,2
SE115;Sopa de morón con res;28;119;19,0;1,5;0,3;6,1;4,8;1,1
SE116;Sopa de mote;54;225;9,0;1,6;0,3;11,4;11,2;0,1
SE117;Sopa de mote con res;38;160;6,9;1,5;0,4;7,1;7,1;0,1
SE120;Sopa de pollo;48;201;20,6;2,6;1,0;7,6;6,7;0,5
SE121;Sopa de res;38;160;22,1;2,0;0,2;7,5;6,8;0,6
SE123;Sopa de sémola con pollo;38;158;19,0;2,1;0,7;6,2;5,3;0,5
SE127;Sopa de trigo con res;49;205;37,3;1,6;0,3;11,4;10,2;1,2
SE128;Sopa de verduras;34;143;25,5;2,5;0,2;5,9;5,4;0,5
SE130;Sopa de verduras con res;52;216;20,3;1,6;0,2;11,7;10,7;1,0
SE131;Sopa wantán;77;323;12,7;3,9;2,4;9,8;5,9;0,5
SE132;Sustancia;60;253;25,3;3,3;1,1;9,5;8,8;0,5
SE135;Tamal de pollo;310;1296;33,3;5,6;11,3;48,2;47,8;0,4
SE136;Tamal verde;156;654;61,4;3,7;6,9;22,6;20,7;2,0
SE140;Tequeños de queso;351;1469;34,3;6,7;22,0;35,1;2,4;4,1
SE141;Tiradito de pejerrey;88;370;77,6;6,5;1,1;13,7;13,5;0,2
SE143;Yucas rellenas;147;613;69,6;4,0;8,2;16,9;14,8;2,1
SS1;Adobo de cerdo y arroz;174;729;21,3;6,3;1,9;31,8;31,7;0,1
SS2;Adobo de cerdo con menestra y arroz;165;690;18,3;9,7;3,4;23,8;18,5;5,3
SS3;Adobo de cerdo con puré y arroz;146;613;41,1;4,8;5,0;20,3;19,9;0,3
SS5;Adobo de pollo con ensalada y arroz;145;605;34,0;4,9;2,2;26,0;25,5;0,5
SS6;Adobo de res con arroz y puré;126;527;50,9;5,6;1,8;22,1;21,4;0,5
SS7;Adobo de res con menestra y arroz;155;647;19,3;7,7;1,7;27,8;23,0;4,8
SS8;Aeropuerto de pollo;212;888;28,7;6,5;2,5;39,8;39,1;0,5
SS9;Aeropuerto tacon pa;177;741;19,3;7,6;3,4;28,7;28,2;0,5
SS10;Ají de pollo y arroz;146;609;37,2;5,9;2,8;23,7;21,6;0,4
SS11;Albóndigas en salsa y arroz;133;555;37,4;6,3;3,6;18,3;18,0;0,3
SS12;Alita broaster con papas fritas y arroz;272;1139;35,7;5,7;18,7;20,3;19,7;0,7
SS14;Arroz a la jardinera con pollo;142;594;38,2;7,3;1,2;24,7;24,2;0,5
SS17;Arroz blanco con filete de pollo, papas sancochadas y ensalada;146;610;41,5;6,5;2,5;23,8;19,9;0,1
SS18;Arroz chaufa con pollo chijaukay;187;783;28,0;6,8;8,2;20,6;16,8;0,1
SS19;Arroz chaufa con pollo tamarindo;129;542;41,8;6,3;1,4;22,2;21,7;0,3
SS20;Arroz chaufa con pollo taypa especial;124;519;48,2;8,9;4,4;11,7;10,0;0,1
SS21;Arroz chaufa de cerdo;194;813;20,2;6,8;4,9;29,6;29,4;0,0
SS22;Arroz chaufa de mariscos;166;695;30,4;7,2;4,6;22,7;22,7;0,0
SS23;Arroz chaufa de pollo;174;726;20,6;6,5;2,6;29,8;29,6;0,0
SS25;Arroz chaufa especial;205;858;28,3;10,5;7,5;23,0;22,7;0,0
SS26;Arroz con carne;119;498;11,1;4,9;0,5;23,6;18,9;4,6
SS27;Arroz con cerdo con sarsa criolla;140;585;37,4;4,1;2,9;24,2;23,4;0,8
SS28;Arroz con frejol y seco de res;132;553;23,2;7,0;2,3;20,8;17,6;3,2
SS29;Arroz con frejoles y seco de pollo;132;550;27,7;7,5;1,8;21,0;18,4;2,6
SS30;Arroz con lentejas con churrasco;157;657;24,0;9,4;2,9;23,1;19,9;3,2
SS31;Arroz con mariscos;144;602;35,4;5,1;3,1;23,5;23,1;0,4
SS32;Arroz con pato;174;728;35,0;5,6;7,1;21,3;20,9;0,4
SS33;Arroz con pollo;139;582;41,3;7,0;2,3;22,1;21,0;0,7
SS34;Arroz tapado;157;658;34,1;7,3;4,4;21,4;21,2;0,2
SS35;Arvejita verde partida con estofado de pollo y arroz;142;593;45,0;8,8;2,8;20,2;15,2;1,9
SS36;Arvejita verde partida con guiso de pollo y arroz;143;598;38,4;7,8;1,2;24,5;23,8;0,7
SS37;Arvejita verde partida con hígado frito y arroz;150;627;14,4;4,6;1,1;29,8;27,1;2,7
SS38;Arvejita verde partida con pollo al horno y arroz;124;520;35,5;7,3;3,4;15,6;14,8;0,7
SS41;Asado de cerdo con menestra y arroz;153;639;18,8;8,0;2,2;24,9;21,0;3,9
SS44;Asado de pollo con puré y arroz;148;619;34,6;6,4;2,7;23,7;23,6;0,1
SS46;Asado de res con menestra y arroz;126;528;32,6;6,7;2,3;19,8;16,7;3,1
SS48;Bisteck de res a lo pobre con arroz;189;791;24,3;5,5;6,1;27,7;27,4;0,3
SS50;Bisteck de res con papas fritas y arroz;96;403;25,8;3,4;3,1;13,5;10,2;0,1
SS53;Carapulcra y arroz;151;630;43,4;6,1;4,0;24,3;18,5;1,5
SS54;Carapulcra de cerdo y arroz;137;573;23,3;6,6;2,6;21,1;21,0;0,1
SS55;Carne de res con ensalada y arroz;215;898;30,5;6,9;10,5;22,7;22,4;0,3
SS56;Cau cau con arroz;103;432;38,8;4,4;1,5;17,7;15,0;0,5
SS57;Causa con pollo al horno y arroz;130;546;49,6;3,3;2,3;24,1;22,9;1,2
SS60;Cebiche de pollo con arroz;138;579;38,7;7,6;2,3;21,7;21,1;0,6
SS61;Cerdo al horno con arroz;161;674;35,2;7,7;3,5;23,3;23,2;0,1
SS62;Chanfainita con arroz;151;630;24,2;4,3;1,8;28,6;28,2;0,4
SS63;Chanfainita con tallarín;153;639;51,0;5,8;0,7;31,4;29,7;1,7
SS66;Chicharrón de pescado con ensalada y arroz;241;1010;34,7;6,8;10,5;29,9;29,2;0,8
SS69;Chicharrón de pescado con yucas doradas;195;815;56,4;9,9;6,9;23,4;20,2;1,7
SS71;Chicharrón mixto;222;928;54,3;9,3;14,1;14,3;13,6;0,7
SS72;Chicharrón mixto con sarsa criolla y arroz;168;704;38,0;6,3;3,8;26,3;25,8;0,5
SS73;Chicharrón mixto con yuca frita;168;704;64,5;10,5;8,8;13,4;12,6;0,7
SS74;Chicken quesadilla;193;808;61,6;12,2;9,9;14,3;1,9;1,4
SS75;Chuleta a la parrilla con arroz;111;464;59,7;6,3;1,8;17,2;11,6;0,4
SS76;Chuleta de cerdo con papas fritas y arroz;178;743;48,0;6,7;8,0;19,5;18,7;0,8
SS77;Churrasco con arroz;100;417;36,8;3,8;0,7;19,1;18,5;0,5
SS78;Churrasco con frejoles y arroz;171;716;20,7;10,9;6,4;17,8;12,1;5,7
SS79;Churrasco con papas fritas con ensalada y arroz;156;651;45,2;4,6;4,3;24,4;23,4;1,0
SS81;Combinado de res;151;634;31,4;4,5;3,8;24,8;21,2;0,4
SS82;Combinado de tallarín rojo con frejoles y arroz;193;806;36,2;10,4;3,6;32,8;29,4;3,5
SS83;Cordero a la norteña con frejoles y arroz;179;749;9,2;8,6;4,3;28,9;26,1;2,8
SS84;Costillas barbiquiu con arroz y camote;190;796;33,0;6,5;8,2;22,5;20,2;0,5
SS85;Costillas con papa y arroz;166;696;44,1;8,3;5,7;20,3;19,8;0,5
SS86;Costillas norteño con frejoles y arroz;152;635;34,4;8,0;3,3;22,2;20,1;2,1
SS87;Encebollado de hígado con frejoles y arroz;161;673;47,3;8,8;6,2;18,1;17,9;0,3
SS88;Ensalada rusa con pollo broaster y arroz;157;657;49,9;8,8;4,9;19,2;16,0;0,7
SS89;Ensalada rusa con pollo a la brasa y arroz;146;612;45,1;8,8;3,4;19,7;18,2;0,6
SS92;Escabeche de pescado con arroz;227;950;18,3;3,3;10,2;30,6;30,1;0,5
SS93;Escabeche de pollo con arroz;137;572;45,0;7,7;2,8;19,6;19,3;0,3
SS97;Estofado de pollo con menestra y arroz;167;697;25,6;7,4;1,5;30,5;26,5;4,0
SS100;Estofado de lengua con arroz;133;558;56,3;4,9;5,1;17,3;15,9;1,3
SS101;Espesado de res con arroz;212;888;37,1;6,8;2,0;41,8;41,0;0,8
SS102;Fetuccini a lo alfredo;339;1418;35,7;9,9;19,9;31,7;30,4;1,3
SS103;Filete de pescado con arroz;207;866;47,6;5,8;11,5;20,6;19,7;0,9
SS104;Filete de pescado con menestra y arroz;240;1003;19,4;9,7;10,6;25,6;23,0;2,6
SS105;Filete de pescado con papas fritas, sarsa criolla y arroz;138;578;38,8;5,5;1,3;25,6;21,3;0,2
SS106;Filete de pescado en salsa de mariscos;136;570;38,1;6,4;0,8;25,5;24,5;1,0
SS109;Filete de pollo a la parrilla, ensalada y arroz;162;678;40,0;8,1;2,4;26,1;25,9;0,2
SS110;Frejoles con asado de carne y arroz;119;500;23,8;6,1;2,3;18,4;15,6;2,7
SS112;Frejoles con cabrito a la norteña y arroz;161;676;16,9;9,1;5,6;18,8;16,5;2,3
SS113;Frejoles con pescado y arroz;168;703;27,6;6,6;4,5;25,6;22,5;3,1
SS114;Frejoles con pescado con ensalada y arroz;178;744;26,3;7,7;7,2;20,9;17,7;3,2
SS115;Frejoles con pollo a la norteña y arroz;114;477;23,1;7,0;1,9;17,5;14,9;2,6
SS116;Frejoles con pollo al vino;158;661;25,4;4,1;2,2;30,9;29,9;0,9
SS120;Garbanzo con arroz y chuleta frita;193;808;16,9;8,3;3,8;31,3;21,0;3,3
SS121;Garbanzo con chuleta y arroz;174;726;24,8;6,9;4,6;26,3;17,3;3,1
SS122;Garbanzo con churrasco, ensalada y arroz;141;592;29,4;6,0;3,3;22,4;17,3;1,9
SS124;Garbanzo con pollo y arroz;130;545;34,0;5,8;3,5;18,9;14,0;1,9
SS125;Guiso de caigua con arroz;136;568;27,7;6,7;2,0;22,3;18,2;1,0
SS126;Guiso de habas con churrasco y arroz;173;724;24,3;5,2;1,2;34,4;33,9;0,4
SS127;Guiso de quinua con pescado y arroz;179;751;14,9;4,8;8,2;22,6;21,4;1,2
SS128;Guiso de trigo con lomo de socona y arroz;78;327;24,9;2,5;1,0;14,8;13,9;0,4
SS129;Guiso de trigo con pollo y arroz;109;454;32,0;6,4;1,9;15,8;15,6;0,1
SS130;Guiso de vainita con pollo y arroz;95;398;54,5;4,3;0,7;18,8;13,3;1,1
SS131;Hígado encebollado con arroz;108;451;57,9;3,9;1,7;20,5;15,6;0,4
SS132;Hígado frito con arroz;174;727;37,0;5,4;5,1;26,4;24,0;0,4
SS133;Jalea con yuca frita;210;879;34,5;10,4;13,3;12,3;11,0;0,9
SS134;Jalea mixta;177;740;65,3;9,5;9,3;14,4;11,3;0,9
SS135;Jalea mixta con yuca frita;234;979;58,5;8,3;16,3;15,9;14,4;1,5
SS138;Kam lu wantán con arroz chaufa;200;835;33,2;6,6;13,0;13,8;12,6;0,1
SS140;Lenteja con adobo y arroz;128;535;14,2;7,5;0,3;23,7;17,4;4,1
SS141;Lenteja con bisteck y arroz;183;765;16,0;9,9;1,2;33,1;25,3;7,8
SS142;Lenteja con chuleta y arroz;170;712;23,8;10,3;2,3;26,4;23,6;2,7
SS143;Lenteja con estofado y arroz;135;566;32,3;8,9;2,0;20,2;17,1;3,0
SS145;Lenteja con hígado y arroz;179;748;22,0;8,8;2,4;30,5;25,4;5,2
SS146;Lenteja con lomito y arroz;137;573;20,1;7,2;1,5;23,5;19,0;4,5
SS149;Locro con hígado frito y arroz;134;559;54,4;3,1;5,6;18,2;17,3;0,9
SS153;Lomo a lo strogonof y arroz;149;623;61,3;9,3;1,9;22,9;21,7;0,9
SS155;Lomo saltado con arroz;147;615;45,3;5,1;5,4;19,3;18,3;0,7
SS156;Lomo saltado con menestra y arroz;159;667;27,2;6,0;4,6;23,4;18,9;4,4
SS158;Macarrones con res;174;730;36,2;6,4;2,3;33,7;31,8;1,8
SS159;Malaya dorada con arroz;149;623;29,4;6,6;0,9;28,9;28,3;0,6
SS160;Milanesa con arroz;175;732;47,4;5,4;7,3;21,8;20,9;1,0
SS161;Milanesa con ensalada y arroz;149;624;29,1;4,4;1,5;29,3;28,4;0,3
SS162;Milanesa con menestra y arroz;155;647;26,7;9,3;3,6;20,4;19,3;1,1
SS163;Milanesa con papas fritas y arroz;156;654;48,3;4,8;6,2;20,2;19,4;0,8
SS164;Molleja saltada con arroz;98;411;21,3;7,0;1,2;14,5;10,7;3,6
SS166;Olluquito con arroz integral;126;529;25,9;5,1;2,4;21,4;20,4;0,1
SS167;Olluquito de charqui con arroz;161;674;32,3;6,2;3,1;26,5;26,4;0,1
SS168;Olluquito de res con arroz;129;540;42,2;5,0;0,5;25,4;25,4;0,0
SS169;Pachamanca a la olla con arroz;139;583;40,5;6,9;1,8;23,5;23,0;0,5
SS170;Pallares con chuleta y arroz;119;499;11,7;6,2;1,3;20,5;17,8;2,7
SS171;Pallares con guiso de pollo y arroz;172;718;27,0;9,5;2,8;26,5;23,5;3,0
SS173;Pallares con pollo y arroz;148;617;28,9;10,8;1,5;22,0;19,6;2,4
SS175;Pavita al vino con arroz;161;674;19,7;4,4;1,3;32,1;31,8;0,3
SS176;Pavita a la norteña con arroz;147;615;35,7;5,7;2,3;26,3;21,9;1,9
SS177;Pavita con ensalada y arroz;234;978;45,9;4,5;15,2;19,9;18,9;1,0
SS179;Pavita con puré y arroz;154;642;34,2;7,2;4,8;19,9;19,7;0,1
SS180;Patita con maní y arroz;134;562;38,3;4,1;1,7;25,2;21,9;0,5
SS181;Pasta al pesto;115;481;36,4;5,8;1,8;19,5;18,3;1,2
SS182;Pasta otros;119;497;41,6;8,6;3,0;15,1;6,7;0,8
SS183;Pechuga a la plancha con ensalada y arroz;132;553;56,2;6,7;3,7;17,8;16,9;0,9
SS185;Pescado a la chorrillana con arroz;224;935;35,1;5,4;12,3;22,7;22,2;0,5
SS188;Pescado con ensalada y arroz;155;650;35,5;7,6;2,6;24,7;24,5;0,2
SS190;Pescado en salsa de champiñones con arroz;183;765;47,0;6,7;9,0;19,8;19,1;0,7
SS191;Pescado en salsa de langostinos con arroz;178;743;33,1;6,1;5,0;27,2;26,8;0,4
SS193;Picante de pollo con arroz;375;1567;45,6;13,1;32,1;9,1;8,2;0,3
SS194;Picante de res con arroz;118;492;35,8;4,9;1,6;20,5;19,8;0,8
SS195;Pizza americana personal;203;848;53,1;7,7;7,3;27,7;26,3;1,1
SS196;Pollo a la brasa con papas fritas;181;758;62,7;7,4;10,9;13,8;10,8;1,4
SS197;Pollo a la brasa + 1 palito de anticucho con papas fritas;146;609;69,9;9,7;7,9;10,3;6,2;4,0
SS198;Pollo a la chiclayana con arroz;137;571;46,1;8,7;1,5;21,1;20,8;0,4
SS199;Pollo a la chiclayana con menestra y arroz;121;505;49,5;7,5;1,0;20,0;13,2;0,1
SS200;Pollo a la leña;163;684;66,4;3,3;9,8;15,8;13,6;1,7
SS201;Pollo a la naranja con arroz;128;537;59,5;10,1;2,7;15,8;15,1;0,7
SS202;Pollo a la norteña con arroz;144;602;40,0;9,4;1,8;22,5;18,8;2,3
SS203;Pollo a la norteña con menestra y arroz;134;560;32,2;8,6;2,7;18,6;16,1;2,6
SS204;Pollo a la huachana con menestra y arroz;134;562;33,0;7,4;3,2;18,7;15,2;3,0
SS205;Pollo a la olla con arroz;150;626;42,0;7,3;2,4;23,8;23,1;0,7
SS206;Pollo a la olla con menestra y arroz;155;646;25,0;9,2;2,2;24,3;18,9;5,4
SS209;Pollo a la parrilla con arroz y papas fritas;273;1143;43,4;7,4;20,7;14,6;13,9;0,7
SS212;Pollo a la parrilla con puré y arroz;133;555;48,9;5,6;3,8;18,9;18,5;0,3
SS213;Pollo a la plancha con arroz;81;340;65,6;4,8;0,9;13,7;12,5;1,2
SS216;Pollo a la plancha con papas doradas y arroz;158;661;33,1;3,1;4,0;26,7;26,3;0,3
SS218;Pollo a la plancha con papas fritas, ensalada y arroz;165;690;49,7;7,3;7,1;18,1;17,4;0,7
SS219;Pollo a la plancha con puré y arroz;133;556;41,8;9,0;3,6;15,4;15,0;0,4
SS220;Pollo al ají con menestra y arroz;137;573;18,5;5,2;0,9;26,7;24,8;1,9
SS221;Pollo al huacatay con arroz;145;607;27,5;10,4;1,3;22,4;19,7;2,8
SS222;Pollo al horno con arroz;159;663;22,8;3,8;3,1;28,9;25,1;0,0
SS224;Pollo al horno con ensalada rusa y arroz;130;544;48,7;7,0;2,6;19,7;17,4;0,9
SS229;Pollo al jugo con menestra y arroz;123;513;26,4;7,7;1,9;21,7;18,3;3,3
SS230;Pollo al maní con arroz;142;594;45,8;6,4;1,7;25,5;24,3;1,2
SS231;Pollo al maní con ensalada y arroz;164;687;42,9;3,2;7,7;20,9;19,7;1,2
SS232;Pollo al maní con menestra y arroz;140;585;29,5;9,0;2,0;21,0;18,9;2,1
SS234;Pollo al sillao con ensalada y arroz;120;501;36,3;5,3;1,4;21,1;20,4;0,6
SS235;Pollo al vino con arroz;137;574;34,9;3,0;1,1;34,0;32,7;1,3
SS236;Pollo al vino con ensalada y arroz;131;550;37,1;6,2;1,1;24,7;21,0;0,1
SS237;Pollo al vino con menestra y arroz;144;604;28,9;9,3;2,7;23,0;20,2;2,7
SS238;Pollo broaster;192;804;40,9;5,4;10,2;20,2;16,3;0,6
SS240;Pollo broaster con papas fritas y arroz;143;597;53,0;7,9;4,0;18,6;12,5;0,2
SS243;Pollo con maní y arroz;136;567;36,9;6,6;3,7;18,4;17,8;0,6
SS244;Pollo con verduras y arroz;174;727;33,3;7,7;6,9;19,3;18,4;0,2
SS245;Pollo con verduras y arroz chaufa;144;603;31,7;4,6;0,7;29,4;29,1;0,3
SS246;Pollo dorado con papas fritas y arroz;180;753;41,1;7,9;5,5;24,3;23,6;0,7
SS247;Pollo enrollado con arroz;156;654;40,9;6,8;3,6;23,9;20,4;0,7
SS250;Pollo frito con ensalada rusa y arroz;183;765;27,7;5,7;5,5;27,2;26,2;0,4
SS252;Pollo frito con papas fritas y arroz;160;670;49,1;2,7;7,3;22,0;21,0;1,0
SS253;Pollo frito con puré y arroz;171;716;43,3;7,8;5,4;22,2;22,1;0,1
SS254;Pollo frito con papas fritas, ensalada y arroz;165;691;47,2;5,5;6,6;20,7;19,9;0,8
SS255;Pollo saltado con arroz;183;764;47,5;5,5;9,6;18,4;17,3;0,9
SS257;Puré con bisteck y arroz;127;531;31,9;4,8;2,3;21,4;21,3;0,1
SS258;Puré con churrasco y arroz;167;699;22,1;5,7;6,9;20,4;16,1;0,2
SS259;Pure con pavita y arroz;133;555;48,1;4,8;3,7;19,9;19,5;0,4
SS260;Puré con pollo al sillao y arroz;147;614;31,5;5,4;1,9;28,4;28,1;0,3
SS261;Puré con pollo y arroz;151;630;37,8;5,9;3,3;23,8;23,5;0,2
SS262;Puré con asado y arroz integral;156;651;48,1;4,9;3,3;26,7;21,9;0,4
SS263;Puré con pollo, ensalada y arroz;134;562;43,3;8,1;2,6;19,0;18,8;0,2
SS264;Quinua guisada con pollo y arroz;134;561;24,6;7,0;2,4;20,9;20,3;0,6
SS265;Ravioles con carne;191;799;60,6;9,8;9,4;16,4;0,8;0,0
SS266;Rocoto relleno con arroz;148;620;27,9;5,2;2,9;25,3;24,9;0,5
SS267;Saltado de brócoli con arroz;156;655;49,6;4,1;6,8;20,1;19,2;0,8
SS268;Saltado de pollo con arroz;135;563;46,6;5,6;2,8;21,4;17,7;0,3
SS269;Saltado de pollo con papas fritas y arroz;215;899;28,5;3,7;10,3;26,5;24,4;0,2
SS276;Seco a la norteña de res con menestra y arroz;147;616;22,2;8,8;1,3;24,8;20,7;4,1
SS277;Seco a la norteña de res con menestra, sarsa criolla y arroz;92;384;33,3;4,7;1,1;16,1;14,5;1,6
SS278;Seco a la norteña con menestra, ensalada y arroz;104;437;15,2;4,3;1,1;19,5;15,6;3,8
SS279;Seco con menestra y arroz;133;558;16,7;6,2;0,7;25,2;22,3;2,9
SS280;Seco de cabrito a la norteña con menestra y arroz;151;630;29,4;8,7;1,8;24,4;21,3;3,1
SS281;Seco de cabrito con arroz;124;520;33,6;6,4;1,7;20,4;19,9;0,4
SS282;Seco de cabrito con menestra y arroz;112;469;23,5;6,4;1,6;17,8;15,7;2,1
SS284;Seco de costillar con menestra y arroz;126;525;33,2;7,5;1,4;20,6;17,4;3,1
SS285;Seco de cordero con arroz;172;719;17,2;7,2;5,4;23,2;22,8;0,4
SS286;Seco de cordero con menestra y arroz;187;782;20,4;7,9;5,7;26,2;23,3;2,9
SS290;Seco de pollo con menestra y arroz;136;568;29,9;8,6;2,1;20,6;17,6;2,7
SS291;Seco de pollo con sarsa criolla y arroz;132;553;46,3;7,6;1,6;22,1;21,2;0,9
SS292;Seco de res a la huachana, menestra y arroz;124;517;23,4;7,3;2,0;18,9;17,0;1,9
SS294;Seco de res con arroz;136;569;42,9;6,6;2,3;21,9;19,4;0,8
SS295;Seco de res con menestra y arroz;133;555;22,1;6,6;1,3;23,8;20,9;2,9
SS296;Seco de res con menestra, ensalada y arroz;145;608;25,2;4,8;4,6;21,5;20,9;0,6
SS298;Seco de ternera con menestra y arroz;125;525;25,5;7,7;1,7;19,6;16,0;2,1
SS299;Seco huachano con menestra y arroz;113;474;22,3;5,7;1,2;20,0;13,8;0,4
SS300;Sopa seca con carapulcra y arroz;222;929;47,5;12,7;11,1;17,7;16,4;0,9
SS301;Spaguetti con crema;176;735;57,5;13,9;4,3;21,1;19,9;1,3
SS302;Steak al tequila;108;453;18,4;5,6;0,5;20,0;18,4;1,6
SS304;Suprema de pescado con arroz y ensalada;161;672;17,6;8,0;1,7;28,3;23,6;4,6
SS305;Suprema de pollo con arroz;177;740;24,6;8,1;2,6;30,8;28,1;0,6
SS306;Tacacho con cecina;213;892;54,7;5,4;10,2;27,9;26,3;1,6
SS307;Tacu tacu con churrasco;160;668;32,4;7,1;3,8;24,3;21,3;3,0
SS309;Tacu tacu con lomito;157;656;23,2;8,5;1,5;27,1;22,2;4,9
SS310;Tacu tacu con lomo y arroz;152;634;21,4;6,1;2,5;25,8;23,3;2,5
SS312;Tallarines al pesto con bisteck;140;584;31,9;6,1;4,8;18,9;18,0;1,0
SS313;Tallarines al pesto con res;226;947;50,9;16,3;8,3;21,8;20,8;1,1
SS314;Tallarines chifa;189;793;19,2;7,5;1,0;40,2;36,9;3,0
SS315;Tallarines con pollo;159;666;59,9;10,5;1,9;26,2;24,6;1,6
SS316;Tallarines con pollo y crema a la huancaína;152;637;52,6;10,8;3,2;20,9;19,5;1,3
SS318;Tallarines saltado;190;794;48,8;8,5;1,6;37,3;33,7;2,1
SS320;Tallarines verdes con chuleta;245;1025;49,0;8,6;11,2;29,2;27,4;1,7
SS322;Tallarines verdes con churrasco y crema a la huancaína;185;773;56,1;7,4;4,0;31,2;26,0;1,3
SS323;Tallarines verdes con hígado;230;962;50,4;9,0;9,5;29,3;27,4;1,8
SS324;Tallarines verdes con milanesa;111;465;38,6;6,6;4,2;12,5;11,4;1,1
SS325;Tallarines verdes con pollo;198;828;53,6;12,2;4,1;29,4;27,7;1,6
SS327;Tallarines verdes con res;176;737;34,5;7,8;5,1;26,0;24,5;1,5
SS328;Ternera a la chiclayana con arroz;96;402;25,1;3,9;0,7;18,5;18,1;0,4
SS329;Trigo con adobo de pollo y arroz;138;578;29,2;5,5;4,5;18,5;17,8;0,3
SS330;Trigo con pollo y arroz;129;540;36,5;8,1;2,1;18,3;18,3;0,0
SS331;Trigo guisado con pollo y arroz;118;495;43,6;7,9;3,3;13,5;13,3;0,2
SS332;Trucha con arroz;299;1250;26,8;4,2;18,8;28,8;27,9;0,9
SS333;Trucha con menestra y arroz;142;593;24,2;5,2;4,7;20,2;16,3;3,9
SS334;Virado paulista;86;360;8,9;3,5;2,6;11,8;11,2;0,6
